      Name         MSE        PSNR          NK         NAE 
        14       0.079      59.152       0.625       0.244
        15       0.024      64.264       0.822       0.247
       Gr1       0.011      67.536       0.816       0.248
      Gr12       0.042      61.862       0.780       0.243
       Gr2       0.005      70.852       0.849       0.266
       Gr3       0.043      61.779       0.488       0.243
       Gr6       0.068      59.832       0.501       0.243
        14       0.084      58.890       0.625       0.288
        15       0.023      64.530       0.821       0.331
       Gr1       0.020      65.172       0.815       0.481
      Gr12       0.040      62.105       0.781       0.286
       Gr2       0.020      65.105       0.842       0.761
       Gr3       0.051      61.093       0.476       0.286
       Gr6       0.076      59.331       0.502       0.345
        14       0.078      59.185       0.627       0.243
        15       0.024      64.239       0.821       0.247
       Gr1       0.012      67.491       0.815       0.249
      Gr12       0.042      61.861       0.779       0.243
       Gr2       0.005      70.910       0.851       0.265
       Gr3       0.043      61.797       0.489       0.243
       Gr6       0.067      59.897       0.506       0.241
        14       0.083      58.931       0.627       0.287
        15       0.023      64.534       0.821       0.331
       Gr1       0.020      65.118       0.821       0.484
      Gr12       0.039      62.165       0.781       0.286
       Gr2       0.020      65.207       0.844       0.753
       Gr3       0.052      60.992       0.482       0.289
       Gr6       0.077      59.260       0.500       0.349
        14       0.106      57.880       0.631       0.328
        15       0.049      61.253       0.838       0.536
       Gr1       0.114      57.547       0.748       1.254
      Gr12       0.032      63.049       0.796       0.309
       Gr2       0.183      55.515       0.761       2.865
       Gr3       0.072      59.559       0.440       0.416
       Gr6       0.101      58.099       0.499       0.355
        14       0.050      61.126       0.814       0.257
        15       0.017      65.791       0.907       0.260
       Gr1       0.008      68.886       0.891       0.260
      Gr12       0.029      63.483       0.887       0.255
       Gr2       0.004      71.668       0.892       0.297
       Gr3       0.026      63.966       0.703       0.249
       Gr6       0.041      61.970       0.739       0.253
