                          Name          PSNR         MSE         NAE         NCC 
                         1.jpg     81.1436        0.0005      0.0416      0.9883
                        10.jpg     81.1911        0.0005      0.0405      0.9827
                        11.jpg     81.3868        0.0005      0.0396      0.9819
                        12.jpg     81.4812        0.0005      0.0389      0.9816
                        13.jpg     81.5345        0.0005      0.0387      0.9806
                        14.jpg     81.7115        0.0004      0.0380      0.9803
                        15.jpg     81.5923        0.0005      0.0383      0.9782
                        16.jpg     81.6625        0.0004      0.0381      0.9760
                        17.jpg     81.8028        0.0004      0.0374      0.9755
                        18.jpg     81.6580        0.0004      0.0382      0.9723
                        19.jpg     81.7930        0.0004      0.0375      0.9716
                         2.jpg     80.9086        0.0005      0.0425      0.9873
                        20.jpg     81.6551        0.0004      0.0384      0.9680
                        21.jpg     81.5385        0.0005      0.0387      0.9624
                         3.jpg     81.0052        0.0005      0.0421      0.9869
                         4.jpg     81.1068        0.0005      0.0413      0.9867
                         5.jpg     81.0425        0.0005      0.0418      0.9859
                         6.jpg     81.1716        0.0005      0.0410      0.9860
                         7.jpg     81.1088        0.0005      0.0412      0.9851
                         8.jpg     81.1231        0.0005      0.0411      0.9846
                         9.jpg     81.2052        0.0005      0.0405      0.9838
                       ref.jpg     81.0446        0.0005      0.0419      0.9886
