                          Name        SSIM        PSNR  
                         1.jpg      0.8608     32.9803
                        10.jpg      0.8320     33.2044
                        11.jpg      0.8299     33.3713
                        12.jpg      0.8321     33.5455
                        13.jpg      0.8299     33.5657
                        14.jpg      0.8311     33.7335
                        15.jpg      0.8267     33.6915
                        16.jpg      0.8197     33.6282
                        17.jpg      0.8239     33.8138
                        18.jpg      0.8145     33.7016
                        19.jpg      0.8186     33.8727
                         2.jpg      0.8537     32.8318
                        20.jpg      0.8132     33.6973
                        21.jpg      0.8084     33.6230
                         3.jpg      0.8511     32.9248
                         4.jpg      0.8515     33.0524
                         5.jpg      0.8450     32.9684
                         6.jpg      0.8472     33.0883
                         7.jpg      0.8428     33.0892
                         8.jpg      0.8386     33.0798
                         9.jpg      0.8370     33.1770
                       ref.jpg      0.8633     32.8829
