                          Name          PSNR         MSE         NAE         NCC 
                         0.jpg     81.5654        0.0005      0.0435      0.9920
                         1.jpg     81.5381        0.0005      0.0444      0.9917
                        10.jpg     81.5172        0.0005      0.0418      0.9884
                        11.jpg     81.4696        0.0005      0.0423      0.9876
                        12.jpg     81.3699        0.0005      0.0419      0.9865
                        13.jpg     81.5437        0.0005      0.0414      0.9866
                        14.jpg     81.5519        0.0005      0.0414      0.9860
                        15.jpg     81.7395        0.0004      0.0403      0.9853
                        16.jpg     81.6563        0.0004      0.0398      0.9836
                        17.jpg     81.5194        0.0005      0.0407      0.9822
                        18.jpg     81.6253        0.0004      0.0402      0.9810
                        19.jpg     81.4534        0.0005      0.0410      0.9794
                         2.jpg     81.5962        0.0005      0.0429      0.9915
                        20.jpg     81.4454        0.0005      0.0405      0.9767
                        21.jpg     81.4327        0.0005      0.0411      0.9739
                         3.jpg     81.6798        0.0004      0.0427      0.9912
                         4.jpg     81.7582        0.0004      0.0414      0.9913
                         5.jpg     81.7190        0.0004      0.0421      0.9908
                         6.jpg     81.8248        0.0004      0.0403      0.9911
                         7.jpg     81.8338        0.0004      0.0405      0.9907
                         8.jpg     81.8475        0.0004      0.0408      0.9904
                         9.jpg     82.0646        0.0004      0.0389      0.9904
