                          Name        SSIM        PSNR  
                         0.jpg      0.9131     33.3391
                         1.jpg      0.9110     33.3348
                        10.jpg      0.8925     33.4189
                        11.jpg      0.8877     33.3928
                        12.jpg      0.8835     33.3481
                        13.jpg      0.8850     33.5491
                        14.jpg      0.8795     33.5248
                        15.jpg      0.8770     33.7102
                        16.jpg      0.8748     33.7189
                        17.jpg      0.8691     33.5456
                        18.jpg      0.8709     33.6882
                        19.jpg      0.8638     33.4122
                         2.jpg      0.9106     33.4019
                        20.jpg      0.8621     33.4609
                        21.jpg      0.8620     33.5138
                         3.jpg      0.9089     33.4937
                         4.jpg      0.9095     33.5650
                         5.jpg      0.9070     33.5641
                         6.jpg      0.9093     33.6685
                         7.jpg      0.9057     33.6685
                         8.jpg      0.9039     33.6673
                         9.jpg      0.9053     33.8720
