                          Name          PSNR         MSE         NAE         NCC 
                         1.jpg     80.9145        0.0005      0.0664      0.9652
                        10.jpg     80.4135        0.0006      0.0750      0.6635
                        11.jpg     81.2525        0.0005      0.0781      0.6679
                        12.jpg     81.2717        0.0005      0.0782      0.6417
                        13.jpg     81.2621        0.0005      0.0763      0.5970
                        14.jpg     81.2425        0.0005      0.0770      0.5948
                        15.jpg     80.5004        0.0006      0.0653      0.5516
                        16.jpg     80.5836        0.0006      0.0646      0.5393
                        17.jpg     80.7017        0.0006      0.0648      0.5432
                        18.jpg     80.7075        0.0006      0.0650      0.5404
                        19.jpg     80.6682        0.0006      0.0659      0.5543
                         2.jpg     80.8710        0.0005      0.0681      0.9541
                        20.jpg     81.0666        0.0005      0.0646      0.5790
