                          Name        SSIM        PSNR  
                         1.jpg      0.9873     32.1797
                        10.jpg      0.9864     31.6807
                        11.jpg      0.9836     30.5531
                        12.jpg      0.9837     30.5542
                        13.jpg      0.9845     30.5191
                        14.jpg      0.9840     30.3945
                        15.jpg      0.9900     30.9294
                        16.jpg      0.9900     30.8690
                        17.jpg      0.9896     30.7856
                        18.jpg      0.9890     30.4711
                        19.jpg      0.9887     30.3501
                         2.jpg      0.9873     32.2190
                        20.jpg      0.9874     29.7779
