                          Name          PSNR         MSE         NAE         NCC 
                         2.jpg     81.1383        0.0005      0.0409      0.9819
                         3.jpg     81.4077        0.0005      0.0395      0.9803
                         4.jpg     81.4434        0.0005      0.0391      0.9767
                         5.jpg     82.0673        0.0004      0.0364      0.9770
                         6.jpg     81.7054        0.0004      0.0377      0.9685
                         7.jpg     81.7522        0.0004      0.0371      0.9647
                         8.jpg     81.5712        0.0005      0.0385      0.9528
                         9.jpg     81.7190        0.0004      0.0372      0.9508
                       a10.jpg     81.5416        0.0005      0.0389      0.9381
                       a11.jpg     81.6553        0.0004      0.0387      0.9283
                       a12.jpg     81.7927        0.0004      0.0379      0.9210
                       a13.jpg     81.8611        0.0004      0.0376      0.8997
                       a14.jpg     81.6850        0.0004      0.0383      0.8855
                       a15.jpg     81.5217        0.0005      0.0391      0.8561
                       a16.jpg     81.5691        0.0005      0.0386      0.8385
                       a17.jpg     81.9861        0.0004      0.0368      0.8325
                       a18.jpg     81.6726        0.0004      0.0379      0.7960
                       a19.jpg     81.8855        0.0004      0.0362      0.7814
                       b20.jpg     80.7200        0.0006      0.0437      0.3001
