                          Name          PSNR         MSE         NAE         NCC 
                         1.jpg     64.1540        0.0250      0.2841      0.6676
                        10.jpg     64.2472        0.0245      0.2782      0.5979
                        11.jpg     64.2828        0.0243      0.2776      0.5826
                        12.jpg     64.2855        0.0242      0.2773      0.5760
                        13.jpg     64.3041        0.0241      0.2770      0.5644
                        14.jpg     64.3144        0.0241      0.2767      0.5542
                        15.jpg     64.3312        0.0240      0.2764      0.5404
                        16.jpg     64.3319        0.0240      0.2760      0.5196
                        17.jpg     64.3758        0.0237      0.2759      0.5108
                        18.jpg     64.4155        0.0235      0.2758      0.4959
                        19.jpg     64.4177        0.0235      0.2757      0.4849
                         2.jpg     64.1867        0.0248      0.2835      0.6631
                        20.jpg     64.4641        0.0233      0.2756      0.4703
                        21.jpg     64.4964        0.0231      0.2755      0.4461
                         3.jpg     64.2023        0.0247      0.2823      0.6550
                         4.jpg     64.1921        0.0248      0.2818      0.6476
                         5.jpg     64.2369        0.0245      0.2811      0.6424
                         6.jpg     64.2256        0.0246      0.2811      0.6379
                         7.jpg     64.2577        0.0244      0.2801      0.6301
                         8.jpg     64.2276        0.0246      0.2793      0.6223
                         9.jpg     64.2562        0.0244      0.2787      0.6104
                       ref.jpg     64.1084        0.0252      0.2848      0.6741
