                          Name        SSIM        PSNR  
                         1.jpg      0.2235     15.9007
                        10.jpg      0.1758     15.9981
                        11.jpg      0.1677     16.0352
                        12.jpg      0.1651     16.0371
                        13.jpg      0.1611     16.0590
                        14.jpg      0.1565     16.0704
                        15.jpg      0.1517     16.0908
                        16.jpg      0.1460     16.0938
                        17.jpg      0.1430     16.1419
                        18.jpg      0.1388     16.1870
                        19.jpg      0.1364     16.1957
                         2.jpg      0.2199     15.9358
                        20.jpg      0.1364     16.2454
                        21.jpg      0.1293     16.2879
                         3.jpg      0.2135     15.9512
                         4.jpg      0.2077     15.9423
                         5.jpg      0.2036     15.9856
                         6.jpg      0.2002     15.9759
                         7.jpg      0.1957     16.0087
                         8.jpg      0.1902     15.9805
                         9.jpg      0.1840     16.0082
                       ref.jpg      0.2291     15.8564
