                          Name          PSNR         MSE         NAE         NCC 
                         0.jpg     64.7861        0.0216      0.2815      0.7497
                         1.jpg     64.8997        0.0210      0.2817      0.7497
                        10.jpg     64.8180        0.0214      0.2772      0.6889
                        11.jpg     64.8849        0.0211      0.2772      0.6821
                        12.jpg     64.7408        0.0218      0.2768      0.6648
                        13.jpg     64.7878        0.0216      0.2766      0.6611
                        14.jpg     64.7910        0.0216      0.2762      0.6523
                        15.jpg     64.8122        0.0215      0.2760      0.6353
                        16.jpg     64.6892        0.0221      0.2756      0.6127
                        17.jpg     64.7847        0.0216      0.2757      0.6072
                        18.jpg     64.7917        0.0216      0.2757      0.5902
                        19.jpg     64.7720        0.0217      0.2756      0.5810
                         2.jpg     64.7730        0.0217      0.2803      0.7390
                        20.jpg     64.6436        0.0223      0.2754      0.5506
                        21.jpg     64.7768        0.0216      0.2756      0.5351
                         3.jpg     64.8517        0.0213      0.2798      0.7325
                         4.jpg     64.7148        0.0220      0.2793      0.7257
                         5.jpg     64.8489        0.0213      0.2790      0.7244
                         6.jpg     64.6709        0.0222      0.2787      0.7193
                         7.jpg     64.7292        0.0219      0.2784      0.7122
                         8.jpg     64.8422        0.0213      0.2782      0.7111
                         9.jpg     64.7115        0.0220      0.2775      0.6969
