                          Name          PSNR         MSE         NAE         NCC 
                         1.jpg     79.4885        0.0007      0.0505      0.9830
                        10.jpg     79.4594        0.0007      0.0495      0.9745
                        11.jpg     79.6368        0.0007      0.0486      0.9733
                        12.jpg     79.6732        0.0007      0.0480      0.9725
                        13.jpg     79.7708        0.0007      0.0477      0.9714
                        14.jpg     79.8762        0.0007      0.0471      0.9704
                        15.jpg     79.8164        0.0007      0.0472      0.9677
                        16.jpg     79.8463        0.0007      0.0472      0.9642
                        17.jpg     79.9759        0.0007      0.0465      0.9634
                        18.jpg     79.8243        0.0007      0.0474      0.9587
                        19.jpg     79.8956        0.0007      0.0468      0.9570
                         2.jpg     79.2297        0.0008      0.0516      0.9814
                        20.jpg     79.8629        0.0007      0.0474      0.9528
                        21.jpg     79.6809        0.0007      0.0482      0.9439
                         3.jpg     79.3527        0.0008      0.0510      0.9810
                         4.jpg     79.3966        0.0007      0.0504      0.9805
                         5.jpg     79.3460        0.0008      0.0509      0.9794
                         6.jpg     79.4884        0.0007      0.0500      0.9796
                         7.jpg     79.3837        0.0007      0.0503      0.9781
                         8.jpg     79.4953        0.0007      0.0497      0.9779
                         9.jpg     79.4574        0.0007      0.0497      0.9761
                       ref.jpg     79.3927        0.0007      0.0508      0.9834
