                          Name        SSIM        PSNR  
                         1.jpg      0.7915     30.8942
                        10.jpg      0.7467     30.9435
                        11.jpg      0.7429     31.1120
                        12.jpg      0.7432     31.1774
                        13.jpg      0.7404     31.2571
                        14.jpg      0.7409     31.3641
                        15.jpg      0.7338     31.3300
                        16.jpg      0.7255     31.3005
                        17.jpg      0.7282     31.4403
                        18.jpg      0.7165     31.3097
                        19.jpg      0.7193     31.4001
                         2.jpg      0.7811     30.6873
                        20.jpg      0.7169     31.3502
                        21.jpg      0.7059     31.1912
                         3.jpg      0.7785     30.8071
                         4.jpg      0.7765     30.8626
                         5.jpg      0.7682     30.7959
                         6.jpg      0.7702     30.9301
                         7.jpg      0.7635     30.8613
                         8.jpg      0.7604     30.9490
                         9.jpg      0.7539     30.9264
                       ref.jpg      0.7947     30.7992
