                          Name          PSNR         MSE         NAE         NCC 
                         0.jpg     79.7233        0.0007      0.0542      0.9878
                         1.jpg     79.6583        0.0007      0.0553      0.9873
                        10.jpg     79.7140        0.0007      0.0517      0.9825
                        11.jpg     79.6127        0.0007      0.0525      0.9812
                        12.jpg     79.5559        0.0007      0.0518      0.9797
                        13.jpg     79.6746        0.0007      0.0514      0.9797
                        14.jpg     79.6977        0.0007      0.0513      0.9788
                        15.jpg     79.8742        0.0007      0.0503      0.9776
                        16.jpg     79.7978        0.0007      0.0494      0.9752
                        17.jpg     79.7278        0.0007      0.0505      0.9735
                        18.jpg     79.7357        0.0007      0.0502      0.9712
                        19.jpg     79.6087        0.0007      0.0511      0.9691
                         2.jpg     79.7452        0.0007      0.0533      0.9871
                        20.jpg     79.6223        0.0007      0.0502      0.9652
                        21.jpg     79.5481        0.0007      0.0513      0.9605
                         3.jpg     79.8093        0.0007      0.0532      0.9866
                         4.jpg     79.9150        0.0007      0.0514      0.9867
                         5.jpg     79.8494        0.0007      0.0523      0.9860
                         6.jpg     79.9999        0.0007      0.0500      0.9866
                         7.jpg     79.9682        0.0007      0.0504      0.9858
                         8.jpg     79.9811        0.0007      0.0509      0.9854
                         9.jpg     80.1814        0.0006      0.0486      0.9853
