                          Name        SSIM        PSNR  
                         0.jpg      0.8617     31.1213
                         1.jpg      0.8582     31.0814
                        10.jpg      0.8306     31.1651
                        11.jpg      0.8228     31.0742
                        12.jpg      0.8170     31.0382
                        13.jpg      0.8177     31.1746
                        14.jpg      0.8106     31.1739
                        15.jpg      0.8060     31.3429
                        16.jpg      0.8013     31.3005
                        17.jpg      0.7957     31.2280
                        18.jpg      0.7951     31.2469
                        19.jpg      0.7874     31.0591
                         2.jpg      0.8580     31.1651
                        20.jpg      0.7852     31.1091
                        21.jpg      0.7799     31.0564
                         3.jpg      0.8548     31.2317
                         4.jpg      0.8563     31.3248
                         5.jpg      0.8519     31.2823
                         6.jpg      0.8558     31.4204
                         7.jpg      0.8501     31.3882
                         8.jpg      0.8476     31.3973
                         9.jpg      0.8481     31.5832
