                          Name        SSIM        PSNR  
                         1.jpg      0.9761     29.5248
                        10.jpg      0.9738     28.8867
                        11.jpg      0.9828     30.0407
                        12.jpg      0.9830     30.0590
                        13.jpg      0.9843     30.1185
                        14.jpg      0.9846     30.1857
                        15.jpg      0.9844     28.9379
                        16.jpg      0.9851     29.0544
                        17.jpg      0.9857     29.2646
                        18.jpg      0.9866     29.4016
                        19.jpg      0.9868     29.4362
                         2.jpg      0.9755     29.4638
                        20.jpg      0.9902     30.3962
