                          Name          PSNR         MSE         NAE         NCC 
                         1.jpg     78.2368        0.0010      0.0919      0.9389
                        10.jpg     77.6159        0.0011      0.1063      0.5585
                        11.jpg     78.9777        0.0008      0.1000      0.5287
                        12.jpg     79.0218        0.0008      0.0998      0.5051
                        13.jpg     79.0894        0.0008      0.0958      0.4702
                        14.jpg     79.1682        0.0008      0.0952      0.4696
                        15.jpg     77.7337        0.0011      0.0916      0.4293
                        16.jpg     77.8704        0.0011      0.0897      0.4179
                        17.jpg     78.1086        0.0010      0.0887      0.4219
                        18.jpg     78.2699        0.0010      0.0867      0.4162
                        19.jpg     78.2794        0.0010      0.0866      0.4252
                         2.jpg     78.1486        0.0010      0.0948      0.9200
                        20.jpg     79.3654        0.0008      0.0751      0.4393
