                          Name        SSIM        PSNR  
                         2.jpg      0.7579     30.9119
                         3.jpg      0.7556     31.1160
                         4.jpg      0.7515     31.2276
                         5.jpg      0.7610     31.6067
                         6.jpg      0.7352     31.3580
                         7.jpg      0.7333     31.4506
                         8.jpg      0.7082     31.2540
                         9.jpg      0.7135     31.3705
                       a10.jpg      0.6916     31.1906
                       a11.jpg      0.6880     31.2931
                       a12.jpg      0.6839     31.3914
                       a13.jpg      0.6740     31.4531
                       a14.jpg      0.6657     31.2943
                       a15.jpg      0.6537     31.1643
                       a16.jpg      0.6590     31.2366
                       a17.jpg      0.6664     31.5056
                       a18.jpg      0.6553     31.2761
                       a19.jpg      0.6622     31.4900
                       b20.jpg      0.5708     30.4271
