                          Name        SSIM        PSNR  
                         2.jpg      0.8129     32.3862
                         3.jpg      0.8122     32.6339
                         4.jpg      0.8077     32.7074
                         5.jpg      0.8215     33.2747
                         6.jpg      0.7982     32.9421
                         7.jpg      0.7986     33.0213
                         8.jpg      0.7777     32.8901
                         9.jpg      0.7832     33.0343
                       a10.jpg      0.7663     32.8429
                       a11.jpg      0.7661     33.0014
                       a12.jpg      0.7645     33.1353
                       a13.jpg      0.7572     33.1977
                       a14.jpg      0.7496     33.0203
                       a15.jpg      0.7404     32.9048
                       a16.jpg      0.7454     32.9983
                       a17.jpg      0.7542     33.3389
		       a18.jpg      0.7427     33.0576
                       a19.jpg      0.7480     33.2423
