                          Name          PSNR         MSE         NAE         NCC 
                         2.jpg     79.4868        0.0007      0.0494      0.9739
                         3.jpg     79.7012        0.0007      0.0480      0.9713
                         4.jpg     79.7900        0.0007      0.0472      0.9665
                         5.jpg     80.1865        0.0006      0.0449      0.9653
                         6.jpg     79.9283        0.0007      0.0462      0.9537
                         7.jpg     80.0021        0.0006      0.0456      0.9485
                         8.jpg     79.7641        0.0007      0.0475      0.9310
                         9.jpg     79.8844        0.0007      0.0459      0.9278
                       a10.jpg     79.7172        0.0007      0.0483      0.9101
                       a11.jpg     79.7834        0.0007      0.0484      0.8956
                       a12.jpg     79.8780        0.0007      0.0476      0.8846
                       a13.jpg     79.9432        0.0007      0.0473      0.8556
                       a14.jpg     79.7901        0.0007      0.0482      0.8375
                       a15.jpg     79.6277        0.0007      0.0491      0.7998
                       a16.jpg     79.6647        0.0007      0.0486      0.7775
                       a17.jpg     79.9827        0.0007      0.0468      0.7664
                       a18.jpg     79.7342        0.0007      0.0478      0.7248
                       a19.jpg     79.9676        0.0007      0.0457      0.7086
                       b20.jpg     78.8176        0.0009      0.0550      0.2458
